item_id,title,brand,url,category_id,condition_id,item_location_country_id,item_location_city,marketplace_id,searching_marketplace
315431242700,Dyson Ball Multi Floor Cylinder Vacuum,Dyson,https://www.ebay.com/itm/315431242700,20614,2500,IE,,EBAY_IE,EBAY_IE
315447342001,Dyson Cyclone V10 Animal Cordless Vacuum Cleaner - Refurbished,Dyson,https://www.ebay.com/itm/315447342001,20614,2500,IE,,EBAY_IE,EBAY_IE
196823301068,Dyson V11 Absolute Vacuum Cleaner - New Motorhead Recently! Tools & Charger!,Dyson,https://www.ebay.com/itm/196823301068?amdata=enc%3AAQAJAAAAoHoV3kP08IDx%2BKZ9MfhVJKkBEh7Ad7i7Qm16JSiuwkIOXXJJgpweAH0an9gT%2BT%2Bd033%2Bf1dZEgFwna1LScCoC6wA716%2FXxXaKEDAA1Rn11Hczv6Ze9uAGUqYQZ%2FEjPHQ8iTMaUJ6rtQpZM3tecQ6jcAGDJTQ2AjdoM25O5PjBPuND4MT%2BMBb%2F8synYkWRLzk3EYqxzO5EFfKNKihvtmNjyc%3D,20614,3000,GB,Audenshaw,EBAY_GB,EBAY_IE
315431242704,Dyson V11 Absolute Gold Cordless Vacuum - Refurbished,Dyson,https://www.ebay.com/itm/315431242704,20614,2500,IE,,EBAY_IE,EBAY_IE
276732232762,Dyson V15 Detect Absolute Cordless Vacuum Cleaner,Dyson,https://www.ebay.com/itm/276732232762?amdata=enc%3AAQAJAAAAoHoV3kP08IDx%2BKZ9MfhVJKm%2BymGChX%2FJ%2FMecRpS6z7r7x5oSZrCObkKJq9k%2FvoQjyPlLlYLpRRQe6atgWXO9AFDx2hh%2F6BEjOjkK5EcYjG9KLTmOS8cpfnagaF5cSL%2BN4LTQ6VjbN4w3UjTEYYGdMcqV90reBbPZR%2FZhzZPIi0kxia0LMELycdCCx6bTxE4H84fZscuSDJ7oeb5rhhAluBc%3D,20614,3000,FR,Tours,EBAY_FR,EBAY_IE
326338829515,Dyson Body SV15 V11 Silver/grey Used (ref ws2),Dyson,https://www.ebay.com/itm/326338829515?amdata=enc%3AAQAJAAAAoHoV3kP08IDx%2BKZ9MfhVJKlbSq5W8lp4t625qOLbok6ZDlj64CuuMjtOGBvxfhSP73NGZt1Kd6ItUTSy8tpxFFK1gOEBtjrZB1aSqrwk%2BMPcqMxd%2B8I1FSaBuOHkpXZUO97Tn0h9G3KP9JkY%2FBH6PGliTbNzKKFHsqkQ%2BHTvZ1ijDfKdTvxZiPgK2oB8JQzy8nJeqFn7%2BjQl9hcv9RLrL3Y%3D,20614,3000,GB,Tattershall,EBAY_GB,EBAY_IE
123879271898,Dyson DC39 Ball Animal Cylinder Hoover Vacuum Cleaner - Serviced & Cleaned,Dyson,https://www.ebay.com/itm/123879271898?amdata=enc%3AAQAJAAAAoHoV3kP08IDx%2BKZ9MfhVJKnXDME5AdUJUf6HarSyh0l3RqId4Mj9hr7ArKWp%2FUzA%2B0EYY%2Bs0I4UYCJats7V8jfAlTJfRwwy7Ryl4o1OlxIZroJgMhZe6zewU1ksYhRUXEYlq96XKpvf7V0aqo%2B8NaZREaoA21bw993bcjr%2BQHSEfyo%2BjgfnLL3hoUy1VKlFOuWwZeBEzOn8DunuD5CzmMwc%3D,20614,3000,GB,Coalville,EBAY_GB,EBAY_IE
126728176879,Dyson DC33 Animal Upright Hoover Vacuum Cleaner,Dyson,https://www.ebay.com/itm/126728176879?amdata=enc%3AAQAJAAAAoHoV3kP08IDx%2BKZ9MfhVJKmPl4aAHTBwrrwbohsXEx7BHIuyu--Fmh6%2FzjAmHNLw6AiWnrYQUPqIdsJKg1qHXSJcO9VlfEQ14npHG5oUJAOvenf1jM3%2FLH67%2BCcERyP6kuT1QmsmZArHp%2FOpr%2F54%2FP7%2Fc7YLiih0P7o%2B%2BqgoHYPAMpVFonLaPdD7--CutcpLWGV6JbyaoUE6o7atY1C41SM%3D,20614,2030,GB,Coalville,EBAY_GB,EBAY_IE
134892742250,Dyson Animal Light Ball Multi Floor Upright Vacuum Cleaner Fully Serviced,Dyson,https://www.ebay.com/itm/134892742250?var=434352729997&amdata=enc%3AAQAJAAAAoHoV3kP08IDx%2BKZ9MfhVJKmMgE0KwsOtV0f1uDmUy7gNZ2UtAmTkfnO9cUS4eYWj84rEvQtE3aLw2iJS2piWZ6Vcyc3K%2BwB9HLtUxWC61q7sebCcQNjC56Q3KEH%2Bd4vqbXzqfdQWvnHpnCLaQhIxLmSDM5H0HHSFgxHKZIgV%2FJ%2FvmextGQ6HwiCHq9zIhpr9QFk9RLoBCoHtMXHxqzo%2FxKg%3D,20614,3000,GB,Brighouse,EBAY_GB,EBAY_IE
286102692238,DYSON Ball Animal Upright Bagless Vacuum Cleaner - ** EXD,Dyson,https://www.ebay.com/itm/286102692238,20614,1500,GB,Northampton,EBAY_GB,EBAY_IE
